name,address,phones,cuisine,category,working_hours,avg_cost_2_people,features,description,facebook,instagram,twitter,foursquare,email,latitude,longitude,images,url
Suleyman's Cafe,Ə. Rəcəbli küç. 16a,012 5644439; 012 5644441; 012 5984466; 050 2604441,Fast food; Türk; Fars,Restoranlar,08:00 - 00:00,8-12,Banketlərin qəbulu; Kredit kartla ödəniş; Masaların sifarişi,"""Suleyman Kafe"" türk restoranıdır, burda sizə klassik və qədim türk yeməkləri təqdim olunacaqdır. Müştərilərin məmnunluğu bizim fəxrimizdir. Siz burda ailəvi istirahət edib, gözəl türk yeməklərinin dadına baxa bilərsiniz. Ən sonda isə bütün qonaqlara əsl türk qəhvəsi təqdim olunur. Həmçinin restoranda İsveç masası da vardır. Bütün gələn qonaqlar özləri sərbəst yemək seçə bilərlər. Təəssüflər olsun ki, restoran bağlanıb.",https://www.facebook.com/SuleymansRestaurantCafe,,,http://4sq.com/ddsZ8k,,40.4059509,49.8664969,https://bakuguide.com/images/places/1/suleyman-s-cafe-1.jpg; https://bakuguide.com/images/places/1/suleyman-s-cafe-2.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/1-suleyman-s-cafe
3 BOÇKİ Pub & Restaurant,Bakı ş. Dilarə Əliyeva küç. 251 (Səməd Vurğun adına parkın yanı),012 4980812; 050 5785226; 070 3394319,Avropa; Qəlyanaltı,Restoranlar,24/7 (10:00 - : * Axırıncı müştəriyə qədər),15-25,Biznes lanç; Canlı musiqi; Fon musiqisi; İçkilər; Wi-Fi; VİP otaq; Kredit kartla ödəniş; Masaların sifarişi; Sərbəst Wi-Fi; Park xidməti,"«3 Boçka» içki –restoranı dostlarla görüşün ideal məkanı, səs-küylü dost əhatəsi üçün əla yerdir. Restoranın interyeri pab ənənəsinə uyğun hazırlanıb: taxta oturacaqlar və palıddan hazırlanmış stollar, divarların və döşəmənin taxta örtükləri, dekorun taxta elementləri və az tutqun işıq – bütün bunlar rahatlığın və qonaqpərvəliyin təkrarsız atmosferini yaradır.",https://www.facebook.com/PubAzcom,,,http://4sq.com/abQy5Q,,40.38034751,49.8569147,https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-1.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-2.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-3.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-4.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-5.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-6.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-7.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-8.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-9.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-10.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-11.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-12.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-13.jpg; https://bakuguide.com/images/places/2/3-bocki-pub-restaurant-14.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/2-3-bocki-pub-restaurant
"""5 QAZAN"" restoranı",Şıxəli Qurbanov küçəsi 1,012 4944320; 012 5966227,,Restoranlar,,,,,,,,,,,,https://bakuguide.com/images/places/3/5-qazan-restorani-1.jpg; https://bakuguide.com/images/places/3/5-qazan-restorani-2.jpg; https://bakuguide.com/images/places/3/5-qazan-restorani-3.jpg; https://bakuguide.com/images/places/3/5-qazan-restorani-4.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/3-5-qazan-restorani
AİLƏVİ restoranı,Ə. Bayramov küç. 3,012 4926447,,Restoranlar,,,Çatdırılma; Səhər yeməyi,"Sizin ailəvi istirahətiniz üçün bütün sərait: rahat yerləşmə,müasir dizayn,şef-aşbaz tərəfindən hazırlanmış xüsusi təamlardan ibarət nəfis menyu, yüksək xidmət.",https://www.facebook.com/Restoranailevi/timeline,,,,,,,https://bakuguide.com/images/places/4/ailevi-restorani-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/4-ailevi-restorani
ANADOLU Restoranları,"Rəsul Rza küçəsi, 3 / 5 ;",012 4980102; 050 4980102; 012 4980109,Fast food; İtaliya; Meksika; Rus; Türk; Vegetarian,Restoranlar,24/7,15,Biznes lanç; Çatdırılma; Fon musiqisi; İçkilər; Wi-Fi; Səhər yeməyi; Kredit kartla ödəniş; Masaların sifarişi; Take Away; Sigaret çəkməyən və çəkənlər üçün masalar; Sərbəst Wi-Fi,"Artıq 16 ildir ki, Azərbaycanın qida bazarında şəhərin ən populyar restoranı imicini qazanmış marka mövcuddur. Söhbət restorandan deyil, qidalanma mədəniyyətindən gedir. Anadolu restoranlar şəbəkəsi bakılıların və paytaxtımızın qonaqlarının ləzzətli və sağlam yemək, ən yaxşı şərq və avropa kulinariyasının dadına baxmaq üçün getdiyi məkandır. Sizi səhər yeməyinə dəvət edirik (Şənbə, Bazar və bayram günləri 12:00-a qədər). Həmçinin Ketrinq sisteminin xidmətindən istifadə edə bilərsiniz;",https://www.facebook.com/anadolubaku,,,http://4sq.com/9sHsZ3,,40.3758047,49.8538729,https://bakuguide.com/images/places/5/anadolu-restoranlari-1.jpg; https://bakuguide.com/images/places/5/anadolu-restoranlari-2.jpg; https://bakuguide.com/images/places/5/anadolu-restoranlari-3.jpg; https://bakuguide.com/images/places/5/anadolu-restoranlari-4.jpg; https://bakuguide.com/images/places/5/anadolu-restoranlari-5.jpg; https://bakuguide.com/images/places/5/anadolu-restoranlari-6.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/5-anadolu-restoranlari
Aquarium Club,"İsgəndərov küçəsi, 4",012 4924224; 012 4920670,,Restoranlar,,,Karaoke,,https://www.facebook.com/pages/Aquarium-Club-Baku/175816072452476?sk=timeline&ref=page_internal,,,,,,,https://bakuguide.com/images/places/6/aquarium-club-2.jpg; https://bakuguide.com/images/places/6/aquarium-club-3.jpg; https://bakuguide.com/images/places/6/aquarium-club-4.jpg; https://bakuguide.com/images/places/6/aquarium-club-6.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/6-aquarium-club
Arabesque,"Yusif Məmmədəliyev küçəsi, 19",012 4980930; 050 5800000,Desertlər; Ərəb,Restoranlar,12:00-02:00,15-20,Fon musiqisi; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Qəlyan,1001 Gecə nağıllarından şərq dünyasına qərq olunan Arabesque restoranı şərq qonaqpərvərliyi ilə sizi gözləyir. Misirdən olan baş aşpazın hazırladığı Ərəb və İtalyan mətbəxinin ləzzətli və yüngül yeməkləri...Uzaq şərq ölkəsindən misilsiz qəlyan...Həmçinin internetdə oturmaq istəyən qonaqlara noutbukların təqdim edilir. Özünüzü burada çox rahat hiss edəcəksiniz.,https://www.facebook.com/pages/Arabesque/170580916306228?fref=ts,,,http://4sq.com/ijlqLI,,40.371316,49.838744,https://bakuguide.com/images/places/7/arabesque-1.jpg; https://bakuguide.com/images/places/7/arabesque-2.jpg; https://bakuguide.com/images/places/7/arabesque-3.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/7-arabesque
Art restoranı,"Xaqani küçəsi, 19 / 31",012 5982221,Avropa; Azərbaycan,Restoranlar,24 saat,15,VİP otaq; Masaların sifarişi,"Bakının mərkəzində ""Art"" restoranı yerlşir. Qızılı və qırmızı çalarlarla bəzədilmiş, yumşaq divanlar, qonaqlar üçün ayrıca lojaları olan rahat zal təbii atmosfer yaradır və dostlar əhatəsində dincəlmək istəyənləri bura dəvət edir. Restoranın xüsusi üslublu və keyfiyyətli interyeri istənilən dərəcəli mərasimlərin keçirilməsi üçün əla meydandır: rəsmi mərasimlər, iş danışıqları, toylar, ad günləri, korporativ gecələr, banketlər.",\,,,http://4sq.com/Qmn8IU,,,,https://bakuguide.com/images/places/8/art-restorani-1.png; https://bakuguide.com/images/places/8/art-restorani-2.png; https://bakuguide.com/images/places/8/art-restorani-3.png; https://bakuguide.com/images/places/8/art-restorani-4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/8-art-restorani
Astoria restoranı,"Babək prospekti, 76",012 4709300; 012 4224949,,Restoranlar,,,,"""Astoria"" restoranı Sizə yüksək xidmət, qərb və milli mətbəx və canlı musiqi təqdim edir. Biz qonaqlarımızın rahatlığı və yüksək əhvalı üçün əlimizdən gələni əsirgəmirik. Rahatlığın sərbəst mühitinə baş vurun, bizim peşəkar əməkdaşlarımız isə Sizin şam yeməyinizin unudulmaz olamsı üçün hər şeyi edəcəklər.",https://www.facebook.com/pages/Astoria/155163784565716?ref=ts&fref=ts,,,http://4sq.com/PuBB2C,,40.394697,49.933081,https://bakuguide.com/images/places/10/astoria-restorani-1.jpg; https://bakuguide.com/images/places/10/astoria-restorani-2.jpg; https://bakuguide.com/images/places/10/astoria-restorani-3.jpg; https://bakuguide.com/images/places/10/astoria-restorani-4.jpg; https://bakuguide.com/images/places/10/astoria-restorani-5.jpg; https://bakuguide.com/images/places/10/astoria-restorani-6.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/10-astoria-restorani
AsyaTürk restoranı,"Rəşid Behbudov küçəsi, 17",012 4989132,Türk,Restoranlar,11:00 - 22:00,10,Masaların sifarişi,"Restoran yaxşı türk mətbəxini sevərlər arasında çox populyardır, Çünki nəinki dadlı yeməkləri, həm də yaxşı xidmətilə məşhurdur. Burada siz özünüzə birinci və ya ikinci mərtəbədə rahat yer seçə bilərsiniz.",https://www.facebook.com/AsyaTurkRestorantBaku/timeline,,,http://4sq.com/X7cjH9,,40.3835007,49.8426311,https://bakuguide.com/images/places/11/asyaturk-restorani-1.png; https://bakuguide.com/images/places/11/asyaturk-restorani-2.png; https://bakuguide.com/images/places/11/asyaturk-restorani-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/11-asyaturk-restorani
